iter	Passed	Remaining
0	361	541507
1	635	475993
2	1028	513374
3	1301	486758
4	1384	413995
5	1659	413153
6	2021	431243
7	2260	421616
8	2343	388272
9	2402	357969
10	2556	346009
11	2851	353579
12	3098	354363
13	3341	354652
14	3450	341562
15	3557	329939
16	3786	330299
17	3951	325307
18	4233	329963
19	4556	337215
20	4729	333117
21	4904	329517
22	5087	326678
23	5175	318293
24	5424	320017
25	5613	318217
26	5983	326451
27	6336	333111
28	6623	335971
29	6940	340061
30	7224	342326
31	7551	346444
32	7637	339520
33	7990	344531
34	8342	349193
35	8631	351009
36	8898	351856
37	9152	352113
38	9493	355657
39	9686	353551
40	10013	356334
41	10230	355150
42	10435	353576
43	10656	352629
44	10952	354138
45	11253	355723
46	11479	354876
47	11724	354652
48	11945	353726
49	12225	354543
50	12453	353829
51	12656	352428
52	12842	350614
53	13059	349706
54	13406	352229
55	13691	353041
56	13987	354096
57	14270	354782
58	14438	352643
59	14662	351896
60	14842	350137
61	15067	349473
62	15328	349644
63	15574	349455
64	15770	348170
65	16044	348604
66	16358	349883
67	16552	348568
68	16767	347740
69	16954	346349
70	17127	344727
71	17327	343653
72	17556	343202
73	17783	342686
74	17988	341785
75	18205	341109
76	18470	341340
77	18708	341061
78	18990	341593
79	19284	342292
80	19475	341173
81	19669	340134
82	20017	341739
83	20276	341804
84	20607	343050
85	20796	341929
86	20979	340743
87	21214	340394
88	21407	339394
89	21617	338669
90	21981	340347
91	22253	340573
92	22549	341151
93	22826	341425
94	23130	342083
95	23353	341547
96	23696	342743
97	23879	341622
98	24061	340506
99	24376	341274
100	24674	341771
101	25022	342949
102	25190	341662
103	25462	341782
104	25769	342362
105	26033	342370
106	26340	342919
107	26643	343402
108	26976	344257
109	27271	344616
110	27518	344348
111	27699	343279
112	27875	342147
113	28166	342445
114	28363	341598
115	28578	340975
116	28796	340384
117	29119	341043
118	29324	340314
119	29530	339604
120	29696	338445
121	29917	337916
122	30188	337959
123	30411	337467
124	30700	337701
125	30866	336595
126	31277	338146
127	31557	338261
128	31932	339376
129	32306	340463
130	32707	341808
131	33100	343037
132	33403	343330
133	33756	344111
134	33984	343619
135	34280	343817
136	34648	344717
137	34963	345072
138	35299	345631
139	35615	345980
140	35859	345624
141	36123	345466
142	36462	346008
143	36851	347019
144	37072	346438
145	37324	346149
146	37609	346162
147	37831	345596
148	38150	345916
149	38496	346468
150	38813	346751
151	39100	346757
152	39384	346735
153	39707	347057
154	39918	346389
155	40212	346442
156	40386	345471
157	40589	344752
158	40818	344263
159	41059	343873
160	41290	343404
161	41466	342482
162	41677	341854
163	41887	341226
164	42140	340954
165	42332	340192
166	42496	339211
167	42718	338699
168	42963	338372
169	43186	337873
170	43415	337423
171	43710	337488
172	43941	337050
173	44119	336221
174	44476	336754
175	44740	336572
176	45044	336687
177	45371	336975
178	45685	337153
179	45952	336982
180	46409	338202
181	46703	338215
182	47082	338836
183	47322	338458
184	47629	338557
185	48014	339198
186	48279	338992
187	48525	338648
188	48787	338414
189	49025	338017
190	49268	337656
191	49594	337861
192	49875	337760
193	50161	337683
194	50480	337827
195	50731	337517
196	51203	338673
197	51398	337983
198	51690	337933
199	51949	337672
200	52464	339059
201	52835	339505
202	53146	339564
203	53567	340313
204	53925	340654
205	54265	340870
206	54586	340967
207	54894	340978
208	55250	341287
209	55500	340930
210	55749	340574
211	56010	340287
212	56382	340675
213	56697	340715
214	56917	340182
215	57107	339473
216	57377	339243
217	57665	339117
218	57990	339205
219	58305	339233
220	58606	339177
221	58939	339301
222	59370	339981
223	59603	339524
224	59922	339558
225	60103	338813
226	60416	338813
227	60766	339010
228	61112	339185
229	61479	339475
230	61679	338836
231	61882	338218
232	62290	338722
233	62613	338754
234	62876	338465
235	63056	337727
236	63216	336890
237	63408	336223
238	63714	336169
239	63965	335818
240	64226	335523
241	64416	334858
242	64596	334144
243	64950	334335
244	65375	334883
245	65749	335159
246	66040	335014
247	66401	335220
248	66796	335592
249	67111	335556
250	67296	334874
251	67476	334171
252	67743	333899
253	68017	333663
254	68226	333104
255	68563	333175
256	68954	333505
257	69148	332876
258	69445	332747
259	69685	332348
260	69950	332064
261	70178	331607
262	70406	331153
263	70686	330940
264	71087	331292
265	71571	332028
266	71996	332478
267	72449	333049
268	73464	336189
269	74127	337692
270	74543	338059
271	75018	338684
272	75478	339239
273	75917	339689
274	76366	340176
275	76926	341151
276	77348	341507
277	77636	341267
278	78177	342129
279	78475	341927
280	78690	341364
281	79075	341536
282	79833	343312
283	80304	343838
284	80603	343624
285	81371	345402
286	82000	346571
287	82459	347018
288	82880	347293
289	83253	347368
290	83675	347640
291	83950	347302
292	84482	348021
293	84762	347698
294	85080	347533
295	85393	347341
296	85655	346947
297	85829	346199
298	86123	345933
299	86355	345421
300	86622	345053
301	86791	344292
302	86987	343643
303	87211	343108
304	87555	343045
305	87898	342977
306	88110	342395
307	88407	342148
308	88592	341468
309	88804	340895
310	89061	340494
311	89265	339894
312	89549	339600
313	89785	339124
314	90189	339282
315	90473	338988
316	90746	338651
317	91107	338645
318	91400	338383
319	91645	337942
320	91837	337308
321	92064	336808
322	92325	336430
323	92559	335957
324	92785	335454
325	93080	335205
326	93273	334587
327	93560	334307
328	93785	333806
329	94034	333395
330	94250	332865
331	94524	332544
332	94718	331943
333	95054	331836
334	95333	331533
335	95524	330922
336	95695	330248
337	95943	329841
338	96191	329435
339	96373	328802
340	96587	328283
341	96886	328054
342	97152	327711
343	97439	327440
344	97762	327290
345	98053	327032
346	98554	327473
347	98899	327392
348	99349	327655
349	99599	327257
350	100412	328699
351	101121	329795
352	101553	329976
353	101918	329938
354	102187	329591
355	102586	329659
356	103058	329958
357	103552	330326
358	103877	330152
359	104167	329862
360	104530	329807
361	104933	329874
362	105142	329330
363	105538	329372
364	105863	329190
365	106160	328925
366	106369	328382
367	106844	328663
368	107084	328219
369	107379	327942
370	107684	327698
371	107955	327349
372	108115	326664
373	108351	326212
374	108570	325710
