iter	Passed	Remaining
0	98	146919
1	203	152540
2	240	120008
3	324	121530
4	473	141558
5	525	130901
6	572	122206
7	707	131878
8	736	121996
9	871	129790
10	960	130062
11	1002	124285
12	1070	122447
13	1191	126431
14	1329	131636
15	1372	127314
16	1429	124713
17	1487	122466
18	1564	121974
19	1636	121080
20	1652	116373
21	1721	115676
22	1815	116565
23	1887	116094
24	1909	112638
25	1922	108983
26	2000	109161
27	2066	108640
28	2147	108953
29	2194	107513
30	2267	107456
31	2282	104698
32	2328	103513
33	2382	102739
34	2401	100501
35	2476	100693
36	2503	98986
37	2584	99417
38	2608	97705
39	2710	98942
40	2812	100069
41	2828	98195
42	2866	97126
43	2963	98055
44	3034	98110
45	3120	98622
46	3187	98540
47	3262	98693
48	3329	98586
49	3397	98530
50	3462	98377
51	3515	97896
52	3587	97936
53	3674	98405
54	3758	98756
55	3831	98801
56	3911	99017
57	3976	98853
58	4036	98584
59	4099	98383
60	4161	98160
61	4225	98005
62	4291	97876
63	4374	98156
64	4429	97794
65	4488	97532
66	4545	97213
67	4601	96905
68	4674	96951
69	4728	96587
70	4791	96438
71	4844	96087
72	4898	95764
73	4949	95376
74	4997	94943
75	5043	94500
76	5102	94300
77	5156	94007
78	5211	93736
79	5267	93506
80	5338	93526
81	5411	93580
82	5464	93287
83	5520	93062
84	5565	92644
85	5612	92277
86	5660	91933
87	5714	91684
88	5760	91323
89	5810	91036
90	5869	90880
91	5934	90819
92	6003	90834
93	6064	90705
94	6132	90692
95	6193	90578
96	6241	90274
97	6288	89968
98	6356	89960
99	6418	89852
100	6500	90047
101	6568	90027
102	6656	90277
103	6791	91162
104	6892	91576
105	6971	91677
106	7041	91667
107	7150	92159
108	7203	91922
109	7259	91733
110	7320	91604
111	7367	91308
112	7416	91035
113	7478	90925
114	7592	91442
115	7699	91860
116	7803	92241
117	7852	91968
118	7907	91762
119	7997	91976
120	8072	92002
121	8148	92041
122	8194	91733
123	8275	91830
124	8349	91847
125	8403	91636
126	8449	91345
127	8514	91266
128	8593	91326
129	8706	91755
130	8799	91954
131	8876	91997
132	8967	92172
133	9095	92715
134	9208	93112
135	9311	93389
136	9436	93883
137	9521	93974
138	9573	93737
139	9630	93551
140	9713	93626
141	9770	93441
142	9865	93614
143	9964	93834
144	10030	93733
145	10158	94214
146	10219	94062
147	10358	94624
148	10470	94938
149	10566	95100
150	10670	95330
151	10739	95238
152	10783	94937
153	10842	94768
154	10929	94843
155	10997	94748
156	11051	94533
157	11131	94546
158	11188	94359
159	11263	94330
160	11310	94062
161	11382	94010
162	11464	94039
163	11537	93984
164	11609	93932
165	11660	93703
166	11712	93492
167	11832	93816
168	11919	93871
169	12065	94395
170	12153	94459
171	12301	94980
172	12458	95566
173	12605	96065
174	12694	96117
175	12831	96524
176	12899	96414
177	12981	96416
178	13043	96261
179	13145	96402
180	13212	96285
181	13415	97154
182	13550	97522
183	13679	97834
184	13813	98186
185	13965	98661
186	14025	98476
187	14091	98340
188	14214	98597
189	14426	99467
190	14552	99734
191	14614	99562
192	14688	99473
193	14875	100137
194	15023	100540
195	15192	101076
196	15318	101321
197	15459	101657
198	15576	101834
199	15665	101824
200	15752	101802
201	15813	101610
202	15888	101511
203	15973	101481
204	16060	101455
205	16175	101610
206	16285	101722
207	16423	102018
208	16488	101847
209	16592	101922
210	16689	101954
211	16790	102010
212	16847	101796
213	16922	101694
214	16991	101555
215	17050	101358
216	17137	101322
217	17212	101220
218	17282	101091
219	17365	101035
220	17444	100958
221	17505	100775
222	17609	100841
223	17681	100719
224	17746	100562
225	17827	100493
226	18010	101000
227	18108	101024
228	18200	101016
229	18271	100890
230	18355	100833
231	18482	101017
232	18641	101370
233	18714	101251
234	18760	100987
235	18839	100902
236	18969	101089
237	19063	101083
238	19216	101386
239	19358	101631
240	19529	102021
241	19668	102245
242	19826	102557
243	19941	102650
244	20053	102722
245	20154	102737
246	20300	102979
247	20408	103030
248	20494	102968
249	20603	103019
250	20715	103081
251	20821	103114
252	20925	103138
253	20987	102954
254	21069	102870
255	21132	102690
256	21206	102566
257	21320	102637
258	21488	102963
259	21602	103026
260	21709	103058
261	21816	103087
262	21902	103018
263	21969	102859
264	22037	102705
265	22097	102512
266	22184	102445
267	22297	102503
268	22370	102370
269	22466	102345
270	22566	102339
271	22614	102095
272	22661	101851
273	22746	101778
274	22819	101650
275	22866	101410
276	22930	101242
277	22995	101079
278	23040	100833
279	23116	100720
280	23219	100728
281	23295	100617
282	23431	100765
283	23550	100837
284	23632	100750
285	23721	100691
286	23800	100591
287	23885	100516
288	23979	100482
289	24070	100430
290	24173	100430
291	24231	100245
292	24314	100162
293	24380	100008
294	24461	99917
295	24540	99819
296	24609	99681
297	24676	99533
298	24756	99439
299	24816	99265
300	24875	99089
301	24949	98972
302	25031	98885
303	25095	98729
304	25172	98627
305	25224	98426
306	25297	98306
307	25365	98167
308	25454	98111
309	25527	97994
310	25622	97959
311	25705	97877
312	25757	97680
313	25810	97487
314	25906	97458
315	25989	97378
316	26123	97488
317	26209	97419
318	26275	97276
319	26363	97213
320	26421	97042
321	26506	96971
322	26571	96824
323	26643	96706
324	26695	96512
325	26801	96519
326	26898	96488
327	26978	96399
328	27056	96300
329	27128	96181
330	27208	96093
331	27268	95932
332	27343	95823
333	27408	95684
334	27473	95541
335	27556	95464
336	27642	95393
337	27714	95278
338	27764	95088
339	27845	95002
340	27911	94865
341	27967	94698
342	28039	94582
343	28102	94437
344	28162	94284
345	28218	94117
346	28273	93945
347	28339	93815
348	28420	93732
349	28489	93606
350	28540	93425
351	28602	93281
352	28651	93097
353	28706	92930
354	28795	92876
355	28850	92709
356	28904	92544
357	28983	92454
358	29036	92286
359	29122	92219
360	29187	92090
361	29260	91985
362	29362	91971
363	29435	91864
364	29527	91816
365	29599	91709
366	29686	91646
367	29755	91531
368	29819	91397
369	29882	91264
370	29935	91096
371	29995	90954
372	30056	90813
373	30106	90641
374	30183	90549
375	30268	90483
376	30368	90461
377	30434	90338
378	30502	90220
379	30590	90161
380	30643	90000
381	30703	89861
382	30756	89698
383	30822	89577
384	30882	89437
385	30931	89269
386	31002	89162
387	31050	88990
388	31110	88851
389	31159	88685
390	31234	88591
391	31283	88423
392	31377	88385
393	31463	88320
394	31546	88249
395	31594	88082
396	31649	87931
397	31717	87821
398	31766	87655
399	31817	87497
400	31867	87338
401	31935	87225
402	32002	87114
403	32052	86954
404	32097	86783
405	32146	86621
406	32201	86478
407	32268	86364
408	32325	86227
409	32418	86184
410	32493	86096
411	32579	86034
412	32633	85890
413	32711	85807
414	32794	85739
415	32845	85588
416	32928	85520
417	33007	85439
418	33108	85418
419	33161	85271
420	33262	85249
421	33353	85201
422	33424	85103
423	33543	85124
424	33614	85025
425	33693	84945
426	33769	84857
427	33836	84750
428	33928	84703
429	34012	84634
430	34084	84539
431	34177	84494
432	34261	84427
433	34310	84273
434	34423	84278
435	34477	84136
436	34551	84046
437	34613	83926
438	34661	83772
439	34729	83666
440	34805	83579
441	34874	83478
442	34925	83331
443	34973	83181
444	35020	83025
445	35076	82893
446	35139	82777
447	35185	82624
448	35229	82464
449	35278	82316
450	35326	82167
451	35406	82092
452	35471	81983
453	35546	81897
454	35623	81816
455	35672	81671
456	35740	81569
457	35793	81434
458	35839	81282
459	35905	81178
460	35956	81038
461	36006	80897
462	36054	80752
463	36137	80686
464	36206	80588
