iter	RMSE
0	3.647535404
1	3.471095136
2	3.303767747
3	3.145106854
4	2.994704687
5	2.852180054
6	2.717136441
7	2.589194947
8	2.46806101
9	2.353289463
10	2.244433249
11	2.141764587
12	2.044683783
13	1.952930814
14	1.866227059
15	1.784349978
16	1.707054918
17	1.634211351
18	1.5649505
19	1.499617822
20	1.438729437
21	1.381438384
22	1.327259486
23	1.276711745
24	1.22934629
25	1.184973494
26	1.142773468
27	1.103796176
28	1.067334373
29	1.033480988
30	1.001527817
31	0.9721932201
32	0.9444412278
33	0.9187565787
34	0.8952928181
35	0.8727971957
36	0.852704301
37	0.8328444182
38	0.8157135201
39	0.7994607723
40	0.7847327528
41	0.7713909675
42	0.7590754609
43	0.7402016354
44	0.72333395
45	0.7074880794
46	0.6924957212
47	0.6787035076
48	0.6655126815
49	0.6535602646
50	0.6428799588
51	0.6325165434
52	0.622931009
53	0.614315506
54	0.6065762103
55	0.5990045621
56	0.5924618195
57	0.5865660017
58	0.5810111705
59	0.5755852786
60	0.5709091019
61	0.5667855303
62	0.5626330528
63	0.5590363555
64	0.5544973683
65	0.5503411745
66	0.5466878405
67	0.5431680481
68	0.5398317415
69	0.5367809517
70	0.5341117515
71	0.5317422793
72	0.5293949787
73	0.5272682575
74	0.5253116148
75	0.5234423932
76	0.5217673482
77	0.5202052655
78	0.5186252372
79	0.5164866799
80	0.514854533
81	0.5134496233
82	0.5119762807
83	0.5104463042
84	0.5089585478
85	0.5079473016
86	0.5067534917
87	0.5059490783
88	0.5050471614
89	0.5041347435
90	0.5032973848
91	0.5024643119
92	0.5015598782
93	0.5006023062
94	0.4999717727
95	0.4993803947
96	0.4985714637
97	0.4979544718
98	0.4973518137
99	0.4966116122
100	0.4960976718
101	0.495644635
102	0.4952167356
103	0.4948207755
104	0.494468251
105	0.494047174
106	0.4936580628
107	0.4930464383
108	0.4927273762
109	0.4923577757
110	0.491798495
111	0.4913872679
112	0.491166312
113	0.4906669753
114	0.4901892349
115	0.4899638368
116	0.4895146606
117	0.4892766745
118	0.4889565787
119	0.488705272
120	0.4882867801
121	0.487981912
122	0.4877597273
123	0.4873672169
124	0.4871667241
125	0.4869745219
126	0.4868167359
127	0.4865651256
128	0.4863415308
129	0.4861871877
130	0.4860092685
131	0.4857620335
132	0.4853401855
133	0.4850378249
134	0.484767888
135	0.4845389323
136	0.4841074985
137	0.4838945085
138	0.4836788537
139	0.4833826443
140	0.4831219032
141	0.4829282184
142	0.4828717142
143	0.4825860783
144	0.4823322357
145	0.4821485097
146	0.4819485425
147	0.4816248441
148	0.4814459578
149	0.4813285482
150	0.4811568631
151	0.480984995
152	0.4809110905
153	0.4806823398
154	0.4804195273
155	0.4802713774
156	0.480034034
157	0.4797612273
158	0.4795677503
159	0.4793095619
160	0.4792229866
161	0.4791829168
162	0.4791136005
163	0.479012774
164	0.4789301226
165	0.4788269269
166	0.4785982522
167	0.4784053413
168	0.4782110788
169	0.4780255971
170	0.4778968494
171	0.4777609452
172	0.4775836474
173	0.4774894807
174	0.4772976763
175	0.4771580931
176	0.477063626
177	0.4769414517
178	0.476825854
179	0.4767153791
180	0.4765760796
181	0.4764127871
182	0.4763505407
183	0.4762362782
184	0.476186779
185	0.475892385
186	0.475669643
187	0.475568215
188	0.4755218129
189	0.4752858003
190	0.4750719688
191	0.4749836633
192	0.4748170785
193	0.474740493
194	0.4745651137
195	0.474479542
196	0.4744083025
197	0.4741928076
198	0.474107525
199	0.4739869738
200	0.4738675708
201	0.473816755
202	0.4736965964
203	0.4736075608
204	0.4735100165
205	0.4734090777
206	0.4733913817
207	0.4733189626
208	0.4732327786
209	0.4730550814
210	0.4729086583
211	0.4727057396
212	0.4726396758
213	0.4724736016
214	0.4723527814
215	0.4723098266
