iter	RMSE
0	3.646376709
1	3.469864482
2	3.302439858
3	3.143803246
4	2.993423352
5	2.85090588
6	2.715557125
7	2.587628544
8	2.46624095
9	2.351540586
10	2.242994958
11	2.140215577
12	2.043111088
13	1.951330081
14	1.864289198
15	1.782116151
16	1.704534463
17	1.630714801
18	1.561962153
19	1.496524037
20	1.435547128
21	1.377672759
22	1.323425402
23	1.272089225
24	1.224515228
25	1.17976773
26	1.138084408
27	1.099106649
28	1.06196474
29	1.027818816
30	0.9952518751
31	0.9650812255
32	0.9376421746
33	0.9119623608
34	0.8875829957
35	0.8650560728
36	0.8388792524
37	0.8142499046
38	0.7914008598
39	0.7703823293
40	0.7505892747
41	0.7323941902
42	0.7155503614
43	0.7000623253
44	0.6856878663
45	0.6723552831
46	0.660377099
47	0.6491954967
48	0.6388996791
49	0.6294668095
50	0.6206574037
51	0.6127066057
52	0.6055300187
53	0.5986127948
54	0.5930566415
55	0.5874396234
56	0.579123347
57	0.5714614701
58	0.5646875893
59	0.5584064329
60	0.5524665693
61	0.5470813818
62	0.542204375
63	0.53759614
64	0.5340077032
65	0.5302158611
66	0.5268732187
67	0.5237602616
68	0.5209309035
69	0.518285917
70	0.515734216
71	0.5134285884
72	0.5114015016
73	0.509489992
74	0.5076228678
75	0.5056771635
76	0.5039135665
77	0.5024281886
78	0.5010813561
79	0.4998394267
80	0.4986946167
81	0.4974776109
82	0.4965071496
83	0.4955555953
84	0.4946285514
85	0.4937704432
86	0.4927833624
87	0.4919037768
88	0.4910862276
89	0.4903138684
90	0.489589236
91	0.4888340382
92	0.4881901322
93	0.4874581367
94	0.4868112361
95	0.4862587518
96	0.485416893
97	0.4848508618
98	0.4843622313
99	0.4837467804
100	0.4832728597
101	0.4827213535
102	0.4823597863
103	0.4819651243
104	0.4814976276
105	0.4811423605
106	0.4807861941
107	0.4805105176
108	0.4803196255
109	0.4800362593
110	0.4797829654
111	0.4793838616
112	0.4791069407
113	0.4787544593
114	0.4785049799
115	0.4780638451
116	0.4778076013
117	0.4774041376
118	0.4771304354
119	0.4769269347
120	0.4765299889
121	0.4762281925
122	0.475843156
123	0.4756175262
124	0.4753525739
125	0.4751224502
126	0.4747989181
127	0.4744528208
128	0.4740629735
129	0.4737377388
130	0.4734232876
131	0.4731556087
132	0.4728668998
133	0.4725836948
134	0.472299487
135	0.4721440646
136	0.4718598936
137	0.4717093027
138	0.4714695645
139	0.471236376
140	0.470920574
141	0.4707178187
142	0.4705012959
143	0.4703880114
144	0.4702016243
145	0.4700613925
146	0.4699684694
147	0.4696578272
148	0.4695396122
149	0.4694723688
150	0.4692677846
151	0.4690055499
152	0.4688825224
153	0.4686492308
154	0.4683341457
155	0.4682269075
156	0.4680990208
157	0.4678855981
158	0.4677331307
159	0.4676875722
160	0.4676197143
161	0.4675338847
162	0.467350535
163	0.4671265307
164	0.4668524543
165	0.4666831598
166	0.4664785953
167	0.4662321596
168	0.4659806257
169	0.4657909048
170	0.4655697791
171	0.46534918
172	0.4651442299
173	0.4649867281
174	0.4647992806
175	0.4647069171
176	0.4645408912
177	0.4644124877
178	0.4642633624
179	0.4641733149
180	0.464047391
181	0.4639092821
182	0.4637608433
183	0.463714954
184	0.4636335865
185	0.4634347064
186	0.4633112966
187	0.4631388884
188	0.4629906196
189	0.4629011715
190	0.4627605927
191	0.4626239868
192	0.4625557665
193	0.4624187893
194	0.4622938435
195	0.4622008347
196	0.4621240978
197	0.4620399125
198	0.4619058965
199	0.4618295723
200	0.4617016486
201	0.4615926294
202	0.4614572864
203	0.461312821
204	0.4612089103
205	0.4610734409
206	0.4610126932
207	0.4609484816
208	0.4608842663
209	0.4608079464
210	0.4606503147
211	0.4606064429
212	0.4605024743
213	0.4603942851
214	0.460273674
215	0.4601736695
216	0.4600101718
217	0.4598757136
218	0.4597551207
219	0.4596643248
220	0.4595756112
221	0.4594735063
222	0.4593954335
223	0.4593280083
224	0.4592458207
225	0.4592078852
226	0.4591197909
227	0.4590172836
228	0.4589386091
229	0.4588736675
230	0.4588466881
231	0.4588000365
232	0.4587812693
233	0.458649061
234	0.4585365845
235	0.458404711
236	0.4583595994
237	0.4583037348
238	0.4582106408
239	0.4581216705
240	0.4580213762
241	0.4578956538
242	0.4578249751
243	0.4577400906
244	0.457676956
245	0.4575896496
246	0.4574414441
247	0.457335693
248	0.4571445763
249	0.4570758747
250	0.457005456
251	0.4568923298
252	0.4568003834
253	0.45675245
254	0.4566551238
255	0.4565975882
256	0.4565192153
257	0.4564554681
258	0.4563921846
259	0.4563337848
260	0.4562754897
261	0.4561749593
262	0.456067984
263	0.4560123352
264	0.4559349221
265	0.4559202252
266	0.4558834314
267	0.4558227123
268	0.4557271405
269	0.4556787911
270	0.4556287553
271	0.4555948298
272	0.4554817489
273	0.4553634607
274	0.455313297
275	0.4552228882
276	0.4551694849
277	0.4550615668
278	0.4549762154
279	0.4549399326
280	0.4548773512
281	0.4548526997
282	0.454795964
283	0.454751497
284	0.45460623
285	0.4545432542
286	0.4544987533
287	0.454475269
288	0.454412925
289	0.4543808345
290	0.4542699612
291	0.4542010395
292	0.4541625466
293	0.4541192555
294	0.4540689926
295	0.4539857577
296	0.45392587
297	0.4538296539
298	0.4537781075
299	0.4537313428
300	0.4537129353
301	0.4536912242
302	0.4536350033
303	0.4535692445
304	0.4535406283
305	0.4534808034
306	0.4534390979
