iter	RMSE
0	3.646561744
1	3.470146443
2	3.302839194
3	3.144215086
4	2.993776127
5	2.851184654
6	2.716062072
7	2.588162262
8	2.466904702
9	2.35223037
10	2.24371847
11	2.141070151
12	2.04401366
13	1.951929924
14	1.864811296
15	1.782738696
16	1.705327036
17	1.632123837
18	1.563025404
19	1.497946167
20	1.436946822
21	1.379319462
22	1.325475727
23	1.274138301
24	1.225715072
25	1.181238327
26	1.139608425
27	1.100683436
28	1.063494298
29	1.029363845
30	0.9966968135
31	0.9662496513
32	0.9379890358
33	0.9125258609
34	0.8832014565
35	0.8556333109
36	0.8351464115
37	0.8109331419
38	0.7886311041
39	0.7679765818
40	0.7487089708
41	0.7305664965
42	0.7139066193
43	0.698617493
44	0.6846219498
45	0.6714890985
46	0.6594895827
47	0.648375507
48	0.6380295596
49	0.6287293072
50	0.620181059
51	0.6122616865
52	0.6052648689
53	0.5986142407
54	0.5934710712
55	0.5866231639
56	0.5804827339
57	0.5749354243
58	0.5699689851
59	0.5652906406
60	0.561174939
61	0.557397209
62	0.5539379093
63	0.5495543049
64	0.5451554695
65	0.5413405683
66	0.5377777059
67	0.5344139524
68	0.5315783573
69	0.5288748532
70	0.526307248
71	0.5239617988
72	0.5219772074
73	0.5199258549
74	0.5180744773
75	0.5165567821
76	0.5149062251
77	0.5135122813
78	0.5122523516
79	0.5109645229
80	0.5098938468
81	0.5083859395
82	0.5070015982
83	0.5057057853
84	0.5044982504
85	0.5031497671
86	0.5018429676
87	0.500630648
88	0.4995390572
89	0.4985814966
90	0.4975811268
91	0.4966937245
92	0.4959756312
93	0.4952187159
94	0.4944957459
95	0.49388429
96	0.4930988868
97	0.4925147135
98	0.4918142173
99	0.4914284111
100	0.4908224876
101	0.4903740757
102	0.4899328981
103	0.4895749944
104	0.4889779461
105	0.4886523457
106	0.4881104991
107	0.4877134891
108	0.4871373037
109	0.4868489113
110	0.4865888268
111	0.4861436161
112	0.485844714
113	0.4854465534
114	0.485019997
115	0.4847456415
116	0.4844982191
117	0.4842752167
118	0.4838528419
119	0.4833944036
120	0.482884294
121	0.4824643747
122	0.4822470699
123	0.4818442793
124	0.4812995507
125	0.4809556125
126	0.4808215319
127	0.4804452636
128	0.4801612291
129	0.4797916193
130	0.479421774
131	0.4790333641
132	0.4787835888
133	0.4784047108
134	0.4780820892
135	0.4776736649
136	0.4774843947
137	0.4771354902
138	0.4767759266
139	0.4765057078
140	0.4762682453
141	0.4760337287
142	0.4757082797
143	0.4754568601
144	0.4752819547
145	0.4751149259
146	0.4748454267
147	0.4746005662
148	0.4744676737
149	0.4742343675
150	0.4740021402
151	0.4738040552
152	0.4735171789
153	0.4734437494
154	0.4732330154
155	0.4729529743
156	0.4726917972
157	0.4725465421
158	0.4723215417
159	0.4721384812
160	0.4719236924
161	0.4717717386
162	0.4715447866
163	0.4712896383
164	0.4710842468
165	0.4708206767
166	0.4705526239
167	0.4703668957
168	0.4702319161
169	0.4700614008
170	0.4698056307
171	0.4697444815
172	0.4695459908
173	0.4693237672
174	0.4691936797
175	0.4690040646
176	0.468832158
177	0.4686659702
178	0.4685413302
179	0.4684114284
180	0.4682885984
181	0.4681584165
182	0.4679292423
183	0.4677347546
184	0.4676782101
185	0.4675083589
186	0.4673232106
187	0.467251891
188	0.4671300673
189	0.4669470674
190	0.4668227742
191	0.4667756076
192	0.4667162735
193	0.4666133252
194	0.4664862247
195	0.4663618738
196	0.4662205581
197	0.466039017
198	0.4659269746
199	0.4658147025
200	0.4656171758
201	0.4655030704
202	0.4654113002
203	0.4653058801
204	0.4651955575
205	0.4650718357
206	0.4649846792
207	0.4648538553
208	0.4648026279
209	0.464741032
210	0.4646453427
211	0.464555916
212	0.4644298501
213	0.4643636097
214	0.4642317414
215	0.4641279221
216	0.4640187498
217	0.4639900837
218	0.4638321694
219	0.4637276351
220	0.4636050574
221	0.4635063472
222	0.4634569277
223	0.4632972605
224	0.4632348191
225	0.4631367695
226	0.4631075834
227	0.4630052699
228	0.4629370617
229	0.4628431773
230	0.4627894045
231	0.4626527785
232	0.4626159891
233	0.4625120874
234	0.4624258954
235	0.4623152864
236	0.462242131
237	0.4622173846
238	0.4621438375
239	0.4621133644
240	0.4620897792
241	0.4620023987
242	0.4618835857
243	0.4618213403
244	0.4617658252
245	0.4616436408
246	0.4615636287
247	0.4614691332
248	0.4613476365
249	0.461297726
250	0.4612167215
251	0.4611920772
252	0.4611024093
253	0.4610231415
