iter	RMSE
0	3.646723225
1	3.47030407
2	3.303019148
3	3.144317917
4	2.993966802
5	2.851356373
6	2.716019904
7	2.588078653
8	2.466914672
9	2.3522486
10	2.243734948
11	2.140771721
12	2.04367906
13	1.95192212
14	1.865237977
15	1.783272772
16	1.706033054
17	1.633099271
18	1.564099305
19	1.499428728
20	1.438553572
21	1.38070382
22	1.326481445
23	1.275659307
24	1.227881242
25	1.183396903
26	1.14142073
27	1.102499632
28	1.065880534
29	1.032022515
30	0.9997193929
31	0.9701604486
32	0.9426261624
33	0.9166885007
34	0.8922061308
35	0.8702501892
36	0.8500388262
37	0.8312533357
38	0.8141029825
39	0.7982530748
40	0.7765214745
41	0.756865558
42	0.7383177435
43	0.7206505485
44	0.704476014
45	0.6893302507
46	0.6751641181
47	0.6626471321
48	0.6509323508
49	0.6397154116
50	0.6294012636
51	0.6202121568
52	0.6116370523
53	0.6035231861
54	0.5960276413
55	0.5895221639
56	0.5831977843
57	0.5776670294
58	0.5725989537
59	0.5679731887
60	0.5633423731
61	0.5594024021
62	0.5546042166
63	0.550288852
64	0.5461514009
65	0.5423625516
66	0.5387646099
67	0.5356417496
68	0.5325656637
69	0.5297706739
70	0.5273747311
71	0.5250467504
72	0.5229409986
73	0.5210183831
74	0.5193967566
75	0.5178880331
76	0.5163366165
77	0.5149273783
78	0.5133530884
79	0.5117919136
80	0.5102002293
81	0.5086082302
82	0.5072548341
83	0.5059718153
84	0.504795852
85	0.5037513928
86	0.5024586411
87	0.5013742597
88	0.5003762086
89	0.4992360901
90	0.4982560374
91	0.4974759796
92	0.496719893
93	0.4959819352
94	0.4952748286
95	0.4947125591
96	0.4940889852
97	0.4935236667
98	0.4927410613
99	0.4923094639
100	0.4919760678
101	0.4912809086
102	0.4906117502
103	0.4900308493
104	0.4894635679
105	0.4888946984
106	0.4884290332
107	0.4881349713
108	0.4878091358
109	0.4873391772
110	0.487027075
111	0.4866001523
112	0.4862207776
113	0.4859660405
